sentence	label
Munícipe solicita tapa buracos na rua Lourenço Castanho início da caixa d'água da sabesp vai até o Posto de Saúde, esta toda esburacada e transitar ali principalmente de moto está perigoso. Aguarda providencias com urgência.	Tapa Buraco
Municipe Solicita o conserto de um buraco defronte a minha residência, na Rua Pedro Bianconi Número 202, Conjunto Habitacional Leandro Alarcao Dias, que em breve me impossibilitará de fazer uso da garagem. Aliás, solicito o recapeamento asfáltico de toda rua, vez que a mesma encontra-se com inúmeros buracos o que causa grande desconforto ao passeio, além de colocar em risco a segurança e os componentes dos veículos.	Tapa Buraco
Municipe solicita tapa buraco em toda Av Botucatu em Rubiao Jr, pois a mesma encontra-se com muitos buracos por toda sua extensão.	Tapa Buraco
Municipe solicita tapa buraco na Rua Antoni Amaral Cesar, proximo ao Nº 186, Vila Maria. Solicita providencias com urgencia	Tapa Buraco
Munícipe alega que na Rua Carlino de Oliveira em frente a empresa Expresso de Prata a tampa do bueiro esta quebrada, com risco de acidentes. Solicita providencias com urgência	Manutenção de Galerias
munícipe relata que há buracos em calçada, guia e rua  na rua Av. Professor Rafael Laurindo ao lado do nº 289- Jd. Paraiso. pede providencias com urgência. Pois esse problema esta dificultando o transito no mesmo.	Tapa Buraco
Munícipe relata que há buracos no cruzamento na rua Augusto dos Reis com a Octacilio Nogueira. Próximo a Confraria do Saci	Tapa Buraco
Munícipe solicita que seja feito pintura de solo (PARE, e OUTRAS), na Rua Joaquim Amaral Amando de Barros, esquina com Travessa Ângelo Maitan, pois estão apagadas.	Pintura de solo
teste	Placas de Trânsito
Tree across SUP	Report: Glass/debris on road/path
	Report: Pothole/road surface damage
St James place is on a major bicycle route in Sydney cbd. The current works have blocked this route without providing an alternative.	Report: Poor design/implementation
The separated cycleway here is continuously flooded regardless of weather state.  This narrows the cycleway by one lane in the 10 m before a major decision point and corner.  Something must be wrong with the drainage.	Report: Dangerous drain/pit cover
The separated cycleway is continuously flooded here, at about half a lane, regardless of the weather state.  The cause is almost certainly poor drainage.  This narrows the cycleway by about half a lane, and is about 5m after a decision point with a new decision point coming up.	Report: Dangerous drain/pit cover
Parked car obscures visibility	Report: Dangerous merge point
