sentence	label
Issue in office U ur in oval damanaara	Drain/sewage blockages
	Street Light Problem
Tree in front of 12 Gould St hangs low and blocks the sidewalk.	Tree or Vegetation Issue
	Other
I thought you couldn't store vehicles on the roadway. there are 4 covered cars that don't move regularly. parking is tough enough and it is...	Roadway or Sidewalk Issue
The lot with the billboards is overgrown with unsightly weeds as well as a sofa on the sidewalk obstructing pedestrians. The area needs to be cleaned!	Roadway or Sidewalk Issue
This lot where there are 2 billboards has overgrown vegetation and trash and debris. It's bad enough this neighborhood has to live with these useless billboards but someone should at least be required to keep the lot clean and tidy.	Tree or Vegetation Issue
Curbing missing, curb broken off by large truck, adjacent to man hole cover and street drainage. Ankle breaker....has been like this for a couple of months, a cone was placed there, cone blows away and has to be retrieved by citizen or city worker. Walking hazard	Roadway or Sidewalk Issue
At the corner of Gould and Warner St. This temporary fix has been in place for more than 6 months and is a trip hazard v	Other
The water access port in front of my property property has been crushed  the cast iron pipe into the ground has been broken 6 or 7 in into the ground and the cap keeps falling off as people drive over it.	Roadway or Sidewalk Issue
The sides of Bellevue ave are covered in winter debris. Almost impassable on a bicycle. Street sweeper should be able to clear most of it. In front of Gamerdoone very heavy.	Roadway or Sidewalk Issue
Actually at 22 Bayview Avenue. Been on the curb for over a week with no sticker.	Missed Trash or Bulky Waste Collection
In front of 32 Channing.	Missed Trash or Bulky Waste Collection
Actually at 22 Bayview. Chair on the street for over a week. Eye sore!	Missed Trash or Bulky Waste Collection
Mattresses and appliances in yard for weeks.	Other
There is a crosswalk sign for no road painted road markings on Van Zandt. It has been like this since they repaved it a few years back.  A huge number of people like myself cross this street daily.	Traffic Sign/Pavement Marking Issue
Please repaint the yellow curb here; cars are constantly parking in this spot (which is not a spot) and more often than not block the driveway.	Roadway or Sidewalk Issue
Actually at 22 Bayview Avenue. Been on the curb for over a week with no sticker.	Missed Trash or Bulky Waste Collection
Left on sidewalk!	Missed Trash or Bulky Waste Collection
See above.	Traffic Sign/Pavement Marking Issue
The corner of Pond ave and Warner st is dangerous because you can't see around the cars parked too close to the edge. It causes traffic jams all the time. The curb needs yellow paint (and for it to be enforced) so cars don't park there.	Traffic Sign/Pavement Marking Issue
New sign placement blocking sidewalk.
Out of ADA compliance	Traffic Sign/Pavement Marking Issue
PARKING IS VERY CONGESTION. SECOND IS POSSIBLE
THAT SOMEONE ASK FOR SCHOOL BLINKING YELLOW LIGTHS. FROM NORTH TO SOUTH. THAT WILL HELP. PARENTS ARE SOMETIMES SPEEDS. ALSO WE NEED SIDE WALK, PARENTS ARE PARKING ON THE SIDEWALK ON FLORIDA AVE COMING FROM SW 32 AVE. CHILDREN AND PARENTS ARE WALKING IN THE STREET WITH TRAFFIC.	Traffic Flow & Congestion
Someone has deposited an old mattress, box spring, and a bag of trash in the median on the 12700 block of Hathaway Drive, Glenmont MD. I've lived here for almost 9 years and bulk trash in this median has been a CONSTANT problem. I suspect contractors are dropping trash off here so they don't have to pay fees at the dump. Removing the trash is great, but more just shows up next week...can we start monitoring these green spaces and slapping fines on the perpetrators?	Other
	Signs, Signals and Lighting
	Graffiti Removal Request
	Graffiti Removal Request
Need Vehicle Tow Report	Abandoned Vehicle Complaint
	Graffiti Removal Request
Duplicate	Pothole in Street Complaint
	City Vehicle Sticker Violation
LAZ parking should clean the the city parking lot they manage at Lawrence and Clifton. There is six months of glass and trash that has been piling up along the edges and lots of broken glass on the entire surface.	Sanitation Code Violation
LAZ PARKING is NOT doing maintance of the city owned parking lot on Lawrence next to the Red Line CTA station as they are supposed to. The lot is covered with bottles glass and debris. There is litter in the bushes and tree planter on the  Lawrence side.	Sanitation Code Violation
Yard Waste Request	Tree Debris Clean-Up Request
Graffiti - Painted	Graffiti Removal Request
	Graffiti Removal Request
	Graffiti Removal Request
	Sanitation Code Violation
Lawn and high weeds lawn not being mowed 4818 n magnolia	Sanitation Code Violation
Alley Baited	Rodent Baiting/Rat Complaint
	Alley Sewer Inspection Request
	Alley Light Out Complaint
	Graffiti Removal Request
Completed	Sanitation Code Violation
	Rodent Baiting/Rat Complaint
	Traffic Sign Repair
Large "sinkhole" developing on Zeeb Rd just north of Pleasant Lake Rd.	Unpaved Roads
